企业名称,组织机构代码,资质证书,发证单位
鸿荣源置业集团(深圳)有限公司,760494349,深房开字(2014)067号,深圳市规划和国土资源委员会
深圳市草围投资有限公司,69713993-3,深房开字(2014)068号,深圳市规划和国土资源委员会
深圳航空城（东部）实业有限公司,618843843,深房开字(2014)069号,深圳市规划和国土资源委员会
深圳市福中福房地产开发有限公司,192479756,深房开字(2014)070号,深圳市规划和国土资源委员会
深圳市金亨利实业集团有限公司,71524604-7,深房开字(2014)071号,深圳市规划和国土资源委员会
深圳市粤宝实业发展有限公司,279525807,深房开字(2014)072号,深圳市规划和国土资源委员会
深圳市承翰投资开发集团有限公司,71526117-5,深房开字(2014)073号,深圳市规划和国土资源委员会
深圳市满京华投资集团有限公司,70841564-X,深房开字(2014)074号,深圳市规划和国土资源委员会
深圳市阳光海滨投资有限公司,67483743-X,深房开字(2014)075号,深圳市规划和国土资源委员会
深圳市永晋盈投资有限公司,56423458-2,深房开字(2014)076号,深圳市规划和国土资源委员会
深圳市五联百合房地产开发有限公司,55865196-1,深房开字(2014)077号,深圳市规划和国土资源委员会
深圳市中熙房地产开发有限公司,79798025-2,深房开字(2014)078号,深圳市规划和国土资源委员会
深圳市君成投资发展有限公司,279291318,深房开字(2014)079号,深圳市规划和国土资源委员会
中粮地产集团深圳房地产开发有限公司,19248685-X,深房开字(2014)080号,深圳市规划和国土资源委员会
深圳市名居房地产有限公司,743225315,深房开字(2014)081号,深圳市规划和国土资源委员会
深圳市大贸股份有限公司,279522374,深房开字(2014)082号,深圳市规划和国土资源委员会
深圳市新润园房地产开发有限公司,777181322,深房开字(2014)083号,深圳市规划和国土资源委员会
深圳市润恒尚园房地产开发有限公司,56573864-3,深房开字(2014)084号,深圳市规划和国土资源委员会
深圳市南岭华业投资有限公司,79664708-7,深房开字(2014)085号,深圳市规划和国土资源委员会
深圳市鹏瑞地产开发有限公司,66268263-7,深房开字(2014)086号,深圳市规划和国土资源委员会
深圳市科之谷投资有限公司,61883103-3,深房开字(2014)087号,深圳市规划和国土资源委员会
深圳市鸿荣源房地产开发有限公司,715253861,深房开字(2014)088号,深圳市规划和国土资源委员会
深圳市荷康城房地产开发有限公司,55867459-X,深房开字(2014)089号,深圳市规划和国土资源委员会
深圳宝能华府置业有限公司,19232896-6,深房开字(2014)090号,深圳市规划和国土资源委员会
深圳市维百盛房地产开发有限公司,55986107-1,深房开字(2014)091号,深圳市规划和国土资源委员会
深圳市中核兴业实业有限公司,74323319-8,深房开字(2014)092号,深圳市规划和国土资源委员会
深圳润恒房地产开发集团有限公司,192481637,深房开字(2014)093号,深圳市规划和国土资源委员会
深圳市田厦房地产开发有限公司,79049291-8,深房开字(2014)094号,深圳市规划和国土资源委员会
深圳观澜湖房地产开发有限公司,618930197,深房开字(2014)095号,深圳市规划和国土资源委员会
深圳市新辉大实业发展有限公司,27945421-x,深房开字(2014)096号,深圳市规划和国土资源委员会
深圳市卓越康华贸易有限公司,58159895-1,深房开字(2014)097号,深圳市规划和国土资源委员会
深圳市南园枫叶投资有限公司,57196889-1,深房开字(2014)098号,深圳市规划和国土资源委员会
深圳市玉龙宫实业发展有限公司,19238682-4,深房开字(2014)099号,深圳市规划和国土资源委员会
深圳市建合恒投资有限公司,98765432-1,深房开字(2014)100号,深圳市规划和国土资源委员会
深圳市创展置地实业发展有限公司,192198022,深房开字(2014)101号,深圳市规划和国土资源委员会
深圳和记黄埔观澜地产有限公司,767588495,深房开字(2014)102号,深圳市规划和国土资源委员会
深圳市瑞恒投资发展有限公司,279314110,深房开字(2014)103号,深圳市规划和国土资源委员会
深圳市麟恒投资发展有限公司,73627680-0,深房开字(2014)104号,深圳市规划和国土资源委员会
深圳市集泰实业发展有限公司,27946046-8,深房开字(2014)105号,深圳市规划和国土资源委员会
深圳市华侨城酒店置业有限公司,56153607-5,深房开字(2014)106号,深圳市规划和国土资源委员会
深圳市金安业房地产开发有限公司,56850675-X,深房开字(2014)107号,深圳市规划和国土资源委员会
深圳市三新房地产开发有限公司,78656182-9,深房开字(2014)108号,深圳市规划和国土资源委员会
深圳市翡翠花园房地产开发有限公司,69710531-1,深房开字(2014)109号,深圳市规划和国土资源委员会
深圳东部华侨城有限公司,676677767,深房开字(2014)110号,深圳市规划和国土资源委员会
深圳兰亭房地产开发有限公司,76759840-7,深房开字(2014)111号,深圳市规划和国土资源委员会
深圳市武龙源房地产开发有限公司,774144761,深房开字(2014)112号,深圳市规划和国土资源委员会
深圳市恒和基房地产开发有限公司,783946299,深房开字(2014)113号,深圳市规划和国土资源委员会
深圳市五联将军帽房地产开发有限公司,56152861-4,深房开字(2014)114号,深圳市规划和国土资源委员会
深圳市荣超房地产开发有限公司,279424547,深房开字(2014)115号,深圳市规划和国土资源委员会
天安数码城（集团）有限公司,61881149-7,深房开字(2014)116号,深圳市规划和国土资源委员会
仁恒置地（深圳）有限公司,66706199-5,深房开字(2014)117号,深圳市规划和国土资源委员会
深圳市紫瑞房地产开发有限公司,79541460-1,深房开字(2014)118号,深圳市规划和国土资源委员会
深圳市高发投资控股有限公司,192190995,深房开字(2014)119号,深圳市规划和国土资源委员会
太阳世纪地产集团有限公司,72471397-0,深房开字(2014)120号,深圳市规划和国土资源委员会
深圳市世纪丰源投资发展有限公司,78392575-4,深房开字(2014)121号,深圳市规划和国土资源委员会
深圳市塘泰投资发展有限公司,56572823-4,深房开字(2014)122号,深圳市规划和国土资源委员会
深圳市地业房地产有限公司,279391837,深房开字(2014)123号,深圳市规划和国土资源委员会
深圳市福城投资（集团）有限公司,19220914-X,深房开字(2014)124号,深圳市规划和国土资源委员会
清蓝实业（深圳）有限公司,74320775-8,深房开字(2014)125号,深圳市规划和国土资源委员会
深圳市水榭花都房地产有限公司,76637514-8,深房开字(2014)126号,深圳市规划和国土资源委员会
深圳市展远房地产开发有限公司,68940298-1,深房开字(2014)127号,深圳市规划和国土资源委员会
深圳市京地投资发展有限公司,70843578X,深房开字(2014)128号,深圳市规划和国土资源委员会
